word,word_normalized,length,char_counts
پست,پست,3,"{""پ"": 1, ""س"": 1, ""ت"": 1}"
سپر,سپر,3,"{""س"": 1, ""پ"": 1, ""ر"": 1}"
پاس,پاس,3,"{""پ"": 1, ""ا"": 1, ""س"": 1}"
پسر,پسر,3,"{""پ"": 1, ""س"": 1, ""ر"": 1}"
ترس,ترس,3,"{""ت"": 1, ""ر"": 1, ""س"": 1}"
تاس,تاس,3,"{""ت"": 1, ""ا"": 1, ""س"": 1}"
تپه,تپه,3,"{""ت"": 1, ""پ"": 1, ""ه"": 1}"
پسته,پسته,4,"{""پ"": 1, ""س"": 1, ""ت"": 1, ""ه"": 1}"
راست,راست,4,"{""ر"": 1, ""ا"": 1, ""س"": 1, ""ت"": 1}"
سپاه,سپاه,4,"{""س"": 1, ""پ"": 1, ""ا"": 1, ""ه"": 1}"
ستاره,ستاره,5,"{""س"": 1, ""ت"": 1, ""ا"": 1, ""ر"": 1, ""ه"": 1}"
پرستار,پرستار,6,"{""پ"": 1, ""ر"": 2, ""س"": 1, ""ت"": 1, ""ا"": 1}"
دیو,دیو,3,"{""د"": 1, ""ی"": 1, ""و"": 1}"
هدف,هدف,3,"{""ه"": 1, ""د"": 1, ""ف"": 1}"
زود,زود,3,"{""ز"": 1, ""و"": 1, ""د"": 1}"
یزد,یزد,3,"{""ی"": 1, ""ز"": 1, ""د"": 1}"
زرد,زرد,3,"{""ز"": 1, ""ر"": 1, ""د"": 1}"
زیره,زیره,4,"{""ز"": 1, ""ی"": 1, ""ر"": 1, ""ه"": 1}"
فیوز,فیوز,4,"{""ف"": 1, ""ی"": 1, ""و"": 1, ""ز"": 1}"
وزیر,وزیر,4,"{""و"": 1, ""ز"": 1, ""ی"": 1, ""ر"": 1}"
روزه,روزه,4,"{""ر"": 1, ""و"": 1, ""ز"": 1, ""ه"": 1}"
فرود,فرود,4,"{""ف"": 1, ""ر"": 1, ""و"": 1, ""د"": 1}"
ردیف,ردیف,4,"{""ر"": 1, ""د"": 1, ""ی"": 1, ""ف"": 1}"
فوری,فوری,4,"{""ف"": 1, ""و"": 1, ""ر"": 1, ""ی"": 1}"
فیروز,فیروز,5,"{""ف"": 1, ""ی"": 1, ""ر"": 1, ""و"": 1, ""ز"": 1}"
فیروزه,فیروزه,6,"{""ف"": 1, ""ی"": 1, ""ر"": 1, ""و"": 1, ""ز"": 1, ""ه"": 1}"
پری,پری,3,"{""پ"": 1, ""ر"": 1, ""ی"": 1}"
پیر,پیر,3,"{""پ"": 1, ""ی"": 1, ""ر"": 1}"
پینه,پینه,4,"{""پ"": 1, ""ی"": 1, ""ن"": 1, ""ه"": 1}"
نیرو,نیرو,4,"{""ن"": 1, ""ی"": 1, ""ر"": 1, ""و"": 1}"
پایه,پایه,4,"{""پ"": 1, ""ا"": 1, ""ی"": 1, ""ه"": 1}"
آینه,اینه,4,"{""ا"": 1, ""ی"": 1, ""ن"": 1, ""ه"": 1}"
